Frederick Sanger is a twice recipient of the Nobel Prize for,A,"Chemistry in 1958 and 1980,Physics in 1956 and 1972,Chemistry in 1954 and Peace in 1962,Physics in 1903 and Chemistry in 1911,"
The ozone layer restricts,D,"Visible light,Infrared radiation,X-rays and gamma rays,Ultraviolet radiation,"
Eugenics is the study of,A,"altering human beings by changing their genetic components,people of European origin,different races of mankind,genetic of plants,"
Euclid was,D,"Greek mathematician,Contributor to the use of deductive principles of logic as the basis of geometry,Propounded the geometrical theorems,All of the above,"
Ecology deals with,C,"Birds,Cell formation,Relation between organisms and their environment,Tissues,"
Filaria is caused by,B,"Bacteria,Mosquito,Protozoa,Virus,"
Goa Shipyard Limited (GSL) was established in,B,"1958,1957,1956,1955,"
DRDL stands for,A,"Defence Research and Development Laboratary,Department of Research and Development Laboratory,Differential Research and Documentation Laboratary,None of the above,"
Who was the first Indian Chief of Army Staff of the Indian Army ?,A,"Gen. K.M. Cariappa,Vice-Admiral R.D. Katari,Gen. Maharaja Rajendra Singhji,None of the above,"
FRS stands for,C,"Fellow Research System,Federation of Regulation Society,Fellow of Royal Society,None of the above,"
Escape velocity of a rocket fired from the earth towards the moon is a velocity to get rid of the,A,"Earth's gravitational pull,Moon's gravitational pull,Centripetal force due to the earth's rotation,Pressure of the atmosphere,"
GATT (General Agreement on Tariffs and Trade) is,C,"international agreement signed in 1947 between non-communist nations with the object of encouraging international trade unobstructed by tariff barriers,agreement which seeks to achieve its aim by arranging and encouraging bargaining with trade concessions between members,Both option A and B,None of the above,"
Coral reefs in India can be found in,C,"the coast of Orissa,Waltair,Rameshwaram,Trivandrum,"
"For safety, the fuse wire used in the mains for household supply of electricity must be made of metal having",A,"low melting point,high resistance,high melting point,low specific heat,"
"Golden Temple, Amritsar is India's",A,"largest Gurdwara,oldest Gurudwara,Both option A and B are correct,None of the above,"
During World War I Germany was defeated in the Battle of Verdun on the western front and Romania declared war on the eastern front in the year,C,"1914 AD,1915 AD,1916 AD,1917 AD,"
Heavy Water Project (Talcher) and Fertilizer plant (Paradeep) are famous industries of,A,"Orissa,Tamil nadu,Andhra Pradesh,Kerala,"
Hamid Karzai was chosen president of Afghanistan in,C,"2000,2001,2002,2003,"
Durand Cup is associated with the game of,B,"Cricket,Football,Hockey,Volleyball,"
Headquarters of UNO are situated at,A,"New York, USA,Hague (Netherlands),Geneva,Paris,"
First International Peace Congress was held in London in,C,"1564 AD,1798 AD,1843 AD,1901 AD,"
"For seeing objects at the surface of water from a submarine under water, the instrument used is",B,"kaleidoscope,periscope,spectroscope,telescope,"
Dr. Zakir Hussain was,A,"the first Muslim president of India,first vice president of India,first president of Indian National Congress,first speaker of Lok Sabha,"
G-15 is an economic grouping of,C,"First World Nations,Second World Nations,Third World Nations,Fourth World Nations,"
Fathometer is used to measure,C,"Earthquakes,Rainfall,Ocean depth,Sound intensity,"
For galvanizing iron which of the following metals is used?,D,"Aluminium,Copper,Lead,Zinc,"
Economic goods are,A,"all commodities that are limited in quantity as compared to their demand,Commodities that is available according to their demand,Commodities that is available more as compared to demand,None of the above,"
For purifying drinking water alum is used,A,"for coagulation of mud particles,to kill bacteria,to remove salts,to remove gases,"
Hockey was introduced in the Asian Games in,A,"1958 in Tokyo,1962 in Jakarta,1966 in Bangkok,1970 in Bangkok,"
ESCAP stands for,A,"Economic and Social Commission for Asia and Pacific,European Society Council for Africa and Pacific,Economic and Social Commission for Africa and Pacific,None of the above,"
Firdausi was,C,"a poet,well known for his epic 'Shahnama',Both option A and B,None of the above,"
Himalayan Mountaineering Institute is at,A,"Darjeeling,Dehradun,Marmago,Dispur,"
Gabriel Daniel Fahrenheit was,D,"a German Physicist,developed the mercury thermometer in 1714,devised temperature scale,All of the above,"
"During the first crusade, crusaders reached Jerusalem and captured it in",B,"1000 AD,1099 AD,1200 AD,1515 AD,"
Dr. Linus Carl Pauling is the only person to have won two Nobel prizes individually for,A,"Chemistry in 1954, Peace Prize in 1962,Peace Prize in 1954, Chemistry in 1962,Physics in 1954, Medicine in 1962,Medicine in 1954, Physics in 1962,"
Free market is,B,"a condition in the international market where nations do not impose customs duty or other taxes on import of goods,market where the price of a commodity is determined by free play of the forces of supply and demand,ports that are exempted from payment of customs duty on articles of commerce, primarily to encourage tourism,None of the above,"
"East Timor, which became the 191st member of the UN, is in the continent of",A,"Asia,Africa,Europe,South America,"
Free surface of a liquid behaves like a sheet and tends to contract to the smallest possible area due to the,D,"force of adhesion,force of friction,centrifugal force,force of cohesion,"
Gopal Krishna Gokhale,D,"started as a maths teacher and rose to the position of the principal of Ferguson College, Pune,founded the servants of India Society,served as President of the Indian National Congress in 1905,All of the above,"
GNLF stands for,A,"Gorkha National Liberation Front,Gross National Liberation Form,Both option A and B,None of the above,"
Excessive secretion from the pituitary gland in the children results in,A,"increased height,retarded growth,weakening of bones,None of the above,"
Fa-Hien was,A,"the first Buddhist pilgrim of China to visit India during the reign of Chandragupta Vikramaditya,the discoverer of Puerto Rico and Jamaica,the first Buddhist pilgrim of India to visit China,None of the above,"
